pool,species,taxid,n_reads,pct_of_classified_reads,pct_of_total_pool_reads,confidence,is_common_respiratory_virus,total_reads_in_pool,total_classified_in_pool
260526-MBTA_Da-NAS-P1,Enterovirus A,138948,4,0.0175,0.0052,low,True,76508,22860
260526-MBTA_Da-NAS-P1,Beet necrotic yellow vein virus,31721,3,0.0131,0.0039,low,False,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus E,12064,1,0.0044,0.0013,low,True,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus sp.,47681,1,0.0044,0.0013,low,True,76508,22860
260526-MBTA_Da-NAS-P1,Mischivirus D,2560598,1,0.0044,0.0013,low,False,76508,22860
260526-MBTA_Da-NAS-P1,Bopivirus A,2169775,1,0.0044,0.0013,low,False,76508,22860
260526-MBTA_Da-NAS-P1,Schmidtvirus schmidt,2956401,1,0.0044,0.0013,low,False,76508,22860
260526-MBTA_Da-NAS-P1,Decurrovirus decurro,1982105,1,0.0044,0.0013,low,False,76508,22860
260527-Copl-NAS-P1,Rhinovirus C,463676,21690,44.6682,20.4103,high,True,106270,48558
260527-Copl-NAS-P1,Rhinovirus B,147712,19932,41.0478,18.756,high,True,106270,48558
260527-Copl-NAS-P1,Rhinovirus A,147711,5295,10.9045,4.9826,high,True,106270,48558
260527-Copl-NAS-P1,Severe acute respiratory syndrome-related coronavirus,694009,800,1.6475,0.7528,high,True,106270,48558
260527-Copl-NAS-P1,Bat picornavirus 3,1074865,187,0.3851,0.176,medium,False,106270,48558
260527-Copl-NAS-P1,Enterovirus J,1330521,181,0.3728,0.1703,medium,True,106270,48558
260527-Copl-NAS-P1,Enterovirus D,138951,136,0.2801,0.128,medium,True,106270,48558
260527-Copl-NAS-P1,Enterovirus C,138950,135,0.278,0.127,medium,True,106270,48558
260527-Copl-NAS-P1,Enterovirus F,1330520,80,0.1648,0.0753,medium,True,106270,48558
260527-Copl-NAS-P1,Enterovirus L,2169885,37,0.0762,0.0348,low,True,106270,48558
260527-Copl-NAS-P1,Bopivirus A,2169775,37,0.0762,0.0348,low,False,106270,48558
260527-Copl-NAS-P1,Enterovirus A,138948,15,0.0309,0.0141,low,True,106270,48558
260527-Copl-NAS-P1,Buchavirus hominis,2955552,8,0.0165,0.0075,low,False,106270,48558
260527-Copl-NAS-P1,Doliuvirus culisetae,2844094,5,0.0103,0.0047,low,False,106270,48558
260527-Copl-NAS-P1,Enterovirus B,138949,3,0.0062,0.0028,low,True,106270,48558
260527-Copl-NAS-P1,Cadicivirus B,2560366,3,0.0062,0.0028,low,False,106270,48558
260527-Copl-NAS-P1,BeAn 58058 virus,67082,3,0.0062,0.0028,low,False,106270,48558
260527-Copl-NAS-P1,Enterovirus H,310907,1,0.0021,0.0009,low,True,106270,48558
260527-Copl-NAS-P1,Rabovirus A,1603962,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Ovine picornavirus,2509152,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Garovuvirus peladaptatum,2844406,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Wenzhou picorna-like virus 20,1923605,1,0.0021,0.0009,low,False,106270,48558
